,SMD,official 2010 population,block-approx 2010 population,block-approx 2020 population,block-approx miscount (2010),block-approx change
272,8B05,2176,2616,2889,440,10.44%
273,8B06,1937,1937,1993,0,2.89%
274,8B07,1720,1720,1852,0,7.67%
275,8C01,1824,1814,1902,-10,4.85%
276,8C02,2120,2120,1834,0,-13.49%
277,8C03,2406,2417,2961,11,22.51%
278,8C04,2266,2266,2397,0,5.78%
279,8C05,1725,1713,1826,-12,6.60%
280,8C06,2231,1946,1626,-285,-16.44%
281,8C07,2057,2057,2234,0,8.60%
282,8D01,2116,2160,2091,44,-3.19%
283,8D02,2139,2114,2229,-25,5.44%
284,8D03,2085,2110,1960,25,-7.11%
285,8D04,2092,2092,2742,0,31.07%
286,8D05,2100,2100,1730,0,-17.62%
287,8D06,2071,2071,2141,0,3.38%
288,8D07,2287,2298,3430,11,49.26%
289,8E01,1924,1924,2472,0,28.48%
290,8E02,2148,2154,1967,6,-8.68%
291,8E03,2211,2208,2076,-3,-5.98%
292,8E04,2311,2311,2557,0,10.64%
293,8E05,2289,2289,2584,0,12.89%
294,8E06,2188,2188,2537,0,15.95%
295,8E07,2213,2169,2378,-44,9.64%
